image,ILS_um
Tile_001-216-000_0.tif,0.28564445
Tile_001-217-000_0.tif,0.28564445
Tile_001-218-000_0.tif,0.28564445
Tile_001-219-000_0.tif,0.28564445
Tile_001-220-000_0.tif,0.28564445
Tile_001-221-000_0.tif,0.28564445
Tile_001-222-000_0.tif,0.28564445
Tile_001-223-000_0.tif,0.28564445
Tile_001-224-000_0.tif,0.28564445
Tile_001-225-000_0.tif,0.28564445
Tile_001-226-000_0.tif,0.28564445
Tile_001-227-000_0.tif,0.28564445
Tile_001-228-000_0.tif,0.28564445
Tile_001-229-000_0.tif,0.28564445
Tile_001-230-000_0.tif,0.28564445
Tile_001-231-000_0.tif,0.3076171
Tile_001-232-000_0.tif,0.3076171
Tile_001-233-000_0.tif,0.28564445
Tile_001-234-000_0.tif,0.3076171
Tile_001-235-000_0.tif,0.28564445
Tile_001-236-000_0.tif,0.3076171
Tile_001-237-000_0.tif,0.28564445
Tile_001-238-000_0.tif,0.28564445
Tile_001-239-000_0.tif,0.28564445
Tile_001-240-000_0.tif,0.28564445
Tile_001-241-000_0.tif,0.3076171
Tile_001-242-000_0.tif,0.28564445
Tile_001-243-000_0.tif,0.28564445
Tile_001-244-000_0.tif,0.3076171
Tile_001-245-000_0.tif,0.28564445
Tile_001-246-000_0.tif,0.28564445
Tile_001-247-000_0.tif,0.28564445
Tile_001-248-000_0.tif,0.28564445
Tile_001-249-000_0.tif,0.28564445
Tile_001-250-000_0.tif,0.28564445
Tile_001-251-000_0.tif,0.28564445
Tile_001-252-000_0.tif,0.28564445
Tile_001-253-000_0.tif,0.28564445
Tile_001-254-000_0.tif,0.28564445
Tile_001-255-000_0.tif,0.28564445
Tile_001-256-000_0.tif,0.28564445
Tile_001-257-000_0.tif,0.3076171
Tile_001-258-000_0.tif,0.3076171
Tile_001-259-000_0.tif,0.3076171
Tile_001-260-000_0.tif,0.3076171
Tile_001-261-000_0.tif,0.3076171
Tile_001-262-000_0.tif,0.3076171
Tile_001-263-000_0.tif,0.28564445
Tile_001-264-000_0.tif,0.28564445
Tile_001-265-000_0.tif,0.28564445
Tile_001-266-000_0.tif,0.28564445
Tile_001-267-000_0.tif,0.28564445
Tile_001-268-000_0.tif,0.28564445
Tile_001-269-000_0.tif,0.28564445
Tile_001-270-000_0.tif,0.28564445
Tile_001-271-000_0.tif,0.3076171
Tile_001-272-000_0.tif,0.28564445
Tile_001-273-000_0.tif,0.3076171
Tile_001-274-000_0.tif,0.28564445
Tile_001-275-000_0.tif,0.28564445
Tile_001-276-000_0.tif,0.28564445
Tile_001-277-000_0.tif,0.28564445
Tile_001-278-000_0.tif,0.28564445
Tile_001-279-000_0.tif,0.28564445
Tile_001-280-000_0.tif,0.28564445
Tile_001-281-000_0.tif,0.3076171
Tile_001-282-000_0.tif,0.3076171
Tile_001-283-000_0.tif,0.28564445
Tile_001-284-000_0.tif,0.28564445
Tile_001-285-000_0.tif,0.28564445
Tile_001-286-000_0.tif,0.28564445
Tile_001-287-000_0.tif,0.28564445
Tile_001-288-000_0.tif,0.3076171
Tile_001-289-000_0.tif,0.3076171
Tile_001-290-000_0.tif,0.28564445
Tile_001-291-000_0.tif,0.3076171
Tile_001-292-000_0.tif,0.3076171
Tile_001-293-000_0.tif,0.3076171
Tile_001-294-000_0.tif,0.3076171
Tile_001-295-000_0.tif,0.3076171
Tile_001-296-000_0.tif,0.3076171
Tile_001-297-000_0.tif,0.3076171
Tile_001-298-000_0.tif,0.3076171
Tile_001-299-000_0.tif,0.3076171
Tile_001-300-000_0.tif,0.3076171
